"DonorName","RequestYear","highP20","commitment_value","disbursement_value","commitment_value_total","disbursement_value_total","share_commitments"
"United Kingdom",2004,"high P20 headcounts",3676.00217813,3676.00217813,4815.75058241,4815.75058241,0.763329021140953
"United Kingdom",2005,"regional aid",557.055503901,557.055503901,8958.47181316802,8958.47181316802,0.0621819787480032
"United Kingdom",2005,"other countries",2866.543634555,2866.543634555,8958.47181316802,8958.47181316802,0.319981319843132
"United Kingdom",2005,"high P20 headcounts",5534.87267471202,5534.87267471202,8958.47181316802,8958.47181316802,0.617836701408865
"United Kingdom",2006,"regional aid",466.04590577,466.04590577,9110.615257148,9110.615257148,0.0511541638644383
"United Kingdom",2006,"other countries",1904.392142538,1904.392142538,9110.615257148,9110.615257148,0.209030025831006
"United Kingdom",2006,"high P20 headcounts",6740.17720884,6740.17720884,9110.615257148,9110.615257148,0.739815810304556
"United Kingdom",2007,"regional aid",215.994625323,215.994625323,4349.725037782,4349.725037782,0.0496570756649803
"United Kingdom",2007,"other countries",1306.298952728,1306.298952728,4349.725037782,4349.725037782,0.300317592809063
"United Kingdom",2007,"high P20 headcounts",2827.431459731,2827.431459731,4349.725037782,4349.725037782,0.650025331525957
"United Kingdom",2008,"regional aid",560.15045061,560.15045061,5887.05019972471,5887.05019972471,0.0951495964203251
"United Kingdom",2008,"other countries",2794.23765314688,2794.23765314688,5887.05019972471,5887.05019972471,0.474641383774432
"United Kingdom",2008,"high P20 headcounts",2532.66209596783,2532.66209596783,5887.05019972471,5887.05019972471,0.430209019805243
"United Kingdom",2009,"regional aid",876.6755531272,876.6755531272,9931.7804189969,9931.7804189969,0.0882697276965919
"United Kingdom",2009,"other countries",4445.9644147009,4445.9644147009,9931.7804189969,9931.7804189969,0.447650293012614
"United Kingdom",2009,"high P20 headcounts",4609.1404511688,4609.1404511688,9931.7804189969,9931.7804189969,0.464079979290795
"United Kingdom",2010,"regional aid",520.87679368285,520.87679368285,4290.1315227873,4290.1315227873,0.121412779751898
"United Kingdom",2010,"other countries",2550.86854100872,2550.86854100872,4290.1315227873,4290.1315227873,0.594589822586936
"United Kingdom",2010,"high P20 headcounts",1218.38618809573,1218.38618809573,4290.1315227873,4290.1315227873,0.283997397661166
"United Kingdom",2011,"regional aid",430.81428717756,430.81428717756,3166.38107965463,3166.38107965463,0.136058887524856
"United Kingdom",2011,"other countries",1480.91505958325,1480.91505958325,3166.38107965463,3166.38107965463,0.467699566896346
"United Kingdom",2011,"high P20 headcounts",1254.65173289381,1254.65173289381,3166.38107965463,3166.38107965463,0.396241545578799
"United Kingdom",2012,"regional aid",517.228955544965,517.228955544965,4672.14124113743,4672.14124113743,0.110704905705943
"United Kingdom",2012,"other countries",2611.5097827784,2611.5097827784,4672.14124113743,4672.14124113743,0.558953517882655
"United Kingdom",2012,"high P20 headcounts",1543.40250281406,1543.40250281406,4672.14124113743,4672.14124113743,0.330341576411402
"United Kingdom",2013,"regional aid",870.291702098766,870.291702098766,5209.8085768753,5209.8085768753,0.167048690802521
"United Kingdom",2013,"other countries",2027.09351140329,2027.09351140329,5209.8085768753,5209.8085768753,0.389091745213235
"United Kingdom",2013,"high P20 headcounts",2312.42336337324,2312.42336337324,5209.8085768753,5209.8085768753,0.443859563984244
"United Kingdom",2014,"regional aid",566.50955429983,566.50955429983,5286.84937732812,5286.84937732812,0.107154472137834
"United Kingdom",2014,"other countries",2635.20342127351,2635.20342127351,5286.84937732812,5286.84937732812,0.498444959028754
"United Kingdom",2014,"high P20 headcounts",2085.13640175478,2085.13640175478,5286.84937732812,5286.84937732812,0.394400568833413
"United Kingdom",2015,"regional aid",821.2790841543,821.2790841543,8169.04040891697,8169.04040891697,0.100535563914928
"United Kingdom",2015,"other countries",4466.66735721112,4466.66735721112,8169.04040891697,8169.04040891697,0.546779931745165
"United Kingdom",2015,"high P20 headcounts",2881.09396755156,2881.09396755156,8169.04040891697,8169.04040891697,0.352684504339907
"United Kingdom",2016,"regional aid",795.32427978953,795.32427978953,7312.35613503996,7312.35613503996,0.108764434486229
"United Kingdom",2016,"other countries",3666.85950289988,3666.85950289988,7312.35613503996,7312.35613503996,0.501460737850105
"United Kingdom",2016,"high P20 headcounts",2850.17235235055,2850.17235235055,7312.35613503996,7312.35613503996,0.389774827663666
"United Kingdom",2017,"regional aid",1652.17422142529,1652.17422142529,7474.87795705928,7474.87795705928,0.221030260415821
"United Kingdom",2017,"other countries",3356.4632248385,3356.4632248385,7474.87795705928,7474.87795705928,0.449032511851067
"United Kingdom",2017,"high P20 headcounts",2466.24051079549,2466.24051079549,7474.87795705928,7474.87795705928,0.329937227733112
"United States",2001,"regional aid",1362.63032821,1362.63032821,12826.99074446,12826.99074446,0.10623148915879
"United States",2001,"other countries",8960.11390238,8960.11390238,12826.99074446,12826.99074446,0.698535929500837
